"To begin, please select your name.",1,2,3,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,36,V38,V39,V40,V41,V42
14,Slightly Trust  5,I don't know this person.,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,Trust  6,Extremely Trust  7,Extremely Trust  7,Slightly Trust  5,Extremely Trust  7,This is my own name.,Extremely Trust  7,Trust  6,Slightly Trust  5,Extremely Trust  7,Slightly Trust  5,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,Slightly Trust  5,Slightly Distrust  3,Distrust  2,Extremely Distrust  1,I don't know this person.,8,4,9,5,16
15,Trust  6,I don't know this person.,I don't know this person.,Trust  6,Trust  6,Trust  6,Trust  6,Extremely Trust  7,Extremely Trust  7,Trust  6,Extremely Trust  7,This is my own name.,Trust  6,Trust  6,Trust  6,Trust  6,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,Trust  6,Trust  6,Trust  6,Trust  6,Trust  6,I don't know this person.,11,35,27,14,10
16,Extremely Trust  7,I don't know this person.,I don't know this person.,Extremely Trust  7,Trust  6,Trust  6,Trust  6,Trust  6,Trust  6,Trust  6,Trust  6,Trust  6,This is my own name.,Trust  6,Trust  6,Trust  6,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,Trust  6,Trust  6,Slightly Trust  5,Trust  6,Extremely Trust  7,Slightly Trust  5,Trust  6,I don't know this person.,34,8,1,19,30
17,Slightly Trust  5,I don't know this person.,I don't know this person.,Slightly Trust  5,Slightly Trust  5,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Slightly Trust  5,Slightly Trust  5,Trust  6,Slightly Trust  5,Trust  6,Neither Distrust Nor Trust  4,This is my own name.,Trust  6,Slightly Trust  5,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Trust  6,Extremely Trust  7,I don't know this person.,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,15,12,29,35,13
18,Extremely Distrust  1,I don't know this person.,I don't know this person.,Trust  6,Slightly Trust  5,Neither Distrust Nor Trust  4,Slightly Trust  5,I don't know this person.,Slightly Trust  5,Neither Distrust Nor Trust  4,Trust  6,Distrust  2,I don't know this person.,Slightly Distrust  3,This is my own name.,Extremely Distrust  1,I don't know this person.,Slightly Distrust  3,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Distrust  1,Trust  6,Distrust  2,I don't know this person.,Extremely Distrust  1,Trust  6,I don't know this person.,8,33,11,17,5
19,Extremely Trust  7,I don't know this person.,Slightly Trust  5,Slightly Trust  5,Slightly Trust  5,Trust  6,Slightly Trust  5,Extremely Trust  7,Slightly Trust  5,Neither Distrust Nor Trust  4,Trust  6,Slightly Trust  5,Trust  6,Slightly Trust  5,Neither Distrust Nor Trust  4,This is my own name.,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,Slightly Trust  5,Extremely Trust  7,Trust  6,Trust  6,Slightly Trust  5,34,8,1,10,30
20,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,This is my own name.,Extremely Trust  7,Trust  6,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,I don't know this person.,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,Trust  6,21,2,4,27,36
21,Trust  6,Extremely Trust  7,I don't know this person.,Trust  6,Slightly Trust  5,Extremely Trust  7,Extremely Trust  7,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Trust  6,Trust  6,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,Trust  6,Extremely Trust  7,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,Extremely Trust  7,I don't know this person.,I don't know this person.,Extremely Trust  7,Trust  6,Trust  6,20,2,8,31,27
22,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,This is my own name.,Extremely Trust  7,Extremely Trust  7,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,2,23,4,24,36
23,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,Extremely Trust  7,This is my own name.,Extremely Trust  7,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,2,22,4,24,36
24,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,Trust  6,Extremely Trust  7,This is my own name.,I don't know this person.,Slightly Trust  5,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,Slightly Trust  5,20,23,22,4,36
25,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,Trust  6,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,15,8,11,5,16
26,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,Slightly Trust  5,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,Slightly Trust  5,Slightly Trust  5,Trust  6,I don't know this person.,This is my own name.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,20,2,8,27,36
27,Slightly Trust  5,Trust  6,I don't know this person.,Extremely Trust  7,Slightly Distrust  3,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,Slightly Distrust  3,Slightly Trust  5,Trust  6,Extremely Trust  7,Slightly Trust  5,Trust  6,Trust  6,Distrust  2,Trust  6,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,This is my own name.,Extremely Trust  7,Trust  6,Slightly Trust  5,Extremely Trust  7,Trust  6,Extremely Trust  7,15,21,8,31,36
28,Slightly Trust  5,I don't know this person.,I don't know this person.,Trust  6,Trust  6,Trust  6,I don't know this person.,Extremely Trust  7,Slightly Trust  5,Neither Distrust Nor Trust  4,Slightly Trust  5,Trust  6,Slightly Trust  5,Trust  6,Slightly Trust  5,Slightly Trust  5,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,This is my own name.,Slightly Trust  5,I don't know this person.,Trust  6,Trust  6,I don't know this person.,8,33,27,17,10
29,Neither Distrust Nor Trust  4,I don't know this person.,Neither Distrust Nor Trust  4,Slightly Trust  5,Slightly Distrust  3,Neither Distrust Nor Trust  4,Slightly Trust  5,Slightly Trust  5,Neither Distrust Nor Trust  4,Slightly Trust  5,Slightly Trust  5,Trust  6,Slightly Trust  5,Trust  6,Neither Distrust Nor Trust  4,Slightly Trust  5,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Neither Distrust Nor Trust  4,This is my own name.,Neither Distrust Nor Trust  4,Slightly Distrust  3,Trust  6,I don't know this person.,8,12,33,35,17
30,Extremely Trust  7,I don't know this person.,I don't know this person.,Extremely Trust  7,Trust  6,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,Trust  6,Extremely Trust  7,Slightly Trust  5,Neither Distrust Nor Trust  4,Extremely Trust  7,Slightly Trust  5,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,Slightly Trust  5,Slightly Trust  5,This is my own name.,Extremely Trust  7,Extremely Trust  7,I don't know this person.,34,1,19,16,10
31,Slightly Trust  5,Trust  6,I don't know this person.,Extremely Trust  7,Slightly Trust  5,Extremely Trust  7,Extremely Trust  7,Trust  6,Extremely Trust  7,Slightly Trust  5,Extremely Trust  7,Extremely Trust  7,Slightly Trust  5,I don't know this person.,Slightly Trust  5,Slightly Trust  5,Trust  6,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,Slightly Trust  5,Trust  6,Extremely Trust  7,This is my own name.,Trust  6,Trust  6,15,21,8,11,27
33,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Trust  6,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Slightly Trust  5,Neither Distrust Nor Trust  4,Slightly Distrust  3,Slightly Distrust  3,Trust  6,Distrust  2,Trust  6,Neither Distrust Nor Trust  4,Trust  6,Neither Distrust Nor Trust  4,Slightly Trust  5,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Neither Distrust Nor Trust  4,Trust  6,Trust  6,Trust  6,Trust  6,Slightly Trust  5,This is my own name.,Neither Distrust Nor Trust  4,8,27,9,19,5
36,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,Trust  6,Slightly Distrust  3,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Extremely Trust  7,Trust  6,Extremely Trust  7,Trust  6,Extremely Trust  7,I don't know this person.,Extremely Trust  7,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,I don't know this person.,This is my own name.,20,2,8,31,27
